,Word,Translation,Part_of_Speech
2980,instance,instância,noun
2981,garlic,alho,noun
2982,capability,capacidade,noun
2983,poetry,poesia,noun
2984,celebrity,celebridade,noun
2985,gradually,gradualmente,adverb
2986,stability,estabilidade,noun
2987,to doubt,duvidar,verb
2988,fantasy,fantasia,noun
2989,scared,assustada,adjective
2990,to guide,guiar,verb
2991,plot,trama,noun
2992,framework,estrutura,noun
2993,gesture,gesto,noun
2994,depending,dependendo,preposition
2995,ongoing,em progresso,adjective
2996,psychology,psicologia,noun
2997,since,desde a,adverb
2998,counselor,conselheiro,noun
2999,to witness,testemunhar,verb
3000,chapter,capítulo,noun
3001,fellow,amigo,noun
3002,divorce,divórcio,noun
3003,to owe,dever,verb
3004,pipe,tubo,noun
3005,athletic,atlético,adjective
3006,slight,"pouco, pequeno",adjective
3007,math,matemática,noun
3008,shade,sombra,noun
3009,tail,cauda,noun
3010,to sustain,sustentar,verb
3011,to mount,montar,verb
3012,obligation,obrigação,noun
3013,angle,ângulo,noun
3014,palm,Palma,noun
3015,to differ,diferir,verb
3016,custom,personalizadas,noun
3017,to store,armazenar,verb
3018,economist,economista,noun
3019,fifteen,quinze,number
3020,soup,sopa,noun
3021,celebration,celebração,noun
3022,efficient,eficiente,adjective
3023,to damage,danificar,verb
3024,composition,composição,noun
3025,to satisfy,satisfazer,verb
3026,pile,pilha,noun
3027,briefly,brevemente,adverb
3028,carbon,carbono,noun
3029,closer,mais próximo,adjective
3030,to consume,consumir,verb
3031,scheme,esquema,noun
3032,crack,rachadura,noun
3033,frequency,frequência,noun
3034,tobacco,tabaco,noun
3035,survivor,sobrevivente,noun
3036,besides,além do mais,adverb
3037,in,"em, dentro",conjunction
3038,psychologist,psicólogo,noun
3039,wealthy,próspero,adjective
3040,galaxy,galáxia,noun
3041,given,dado,adjective
3042,to fund,financiar,verb
3043,ski,esqui,noun
3044,limitation,limitação,noun
3045,OK,ok,adjective
3046,to trace,rastrear,verb
3047,appointment,compromisso,noun
3048,preference,preferência,noun
3049,meter,metro,noun
3050,explosion,explosão,noun
3051,arrest,prender prisão,noun
3052,publicly,publicamente,adverb
3053,incredible,incrível,adjective
3054,fighter,lutador,noun
3055,rapid,rápido,adjective
3056,admission,admissão,noun
3057,hunter,caçador,noun
3058,to educate,educar,verb
3059,painful,doloroso,adjective
3060,friendship,amizade,noun
3061,aide,auxiliar,noun
3062,infant,infantil,noun
3063,to calculate,calcular,verb
3064,fifty,cinquenta,number
3065,to rid,livrar,verb
3066,porch,alpendre,noun
3067,tendency,tendência,noun
3068,uniform,uniforme,noun
3069,formation,formação,noun
3070,scholarship,bolsa de estudos,noun
3071,reservation,reserva,noun
3072,efficiency,eficiência,noun
3073,to waste,desperdiçar,verb
3074,to qualify,qualificar,verb
3075,mall,Shopping,noun
3076,to derive,derivar,verb
3077,scandal,escândalo,noun
3078,PC,computador,noun
3079,helpful,útil,adjective
3080,to impress,impressionar,verb
3081,heel,salto,noun
3082,to resemble,comparar,verb
3083,privacy,privacidade,noun
3084,fabric,tecido,noun
3085,to surprise,para surpreender,verb
3086,contest,concurso,noun
3087,proportion,proporção,noun
3088,guideline,diretriz,noun
3089,rifle,rifle,noun
3090,maintenance,manutenção,noun
3091,conviction,convicção,noun
3092,trick,truque,noun
3093,organic,orgânico,adjective
3094,tent,tenda,noun
3095,examination,exame,noun
3096,publisher,editor,noun
3097,to strengthen,fortalecer,verb
3098,French,Francês,noun
3099,proposed,proposto,adjective
3100,myth,mito,noun
3101,sophisticated,sofisticado,adjective
3102,cow,vaca,noun
3103,etc,etc,adverb
3104,standing,de pé,noun
3105,asleep,dormindo,adjective
3106,tennis,tênis,noun
3107,nerve,nervo,noun
3108,barrel,barril,noun
3109,bombing,bombardeio,noun
3110,membership,filiação,noun
3111,ratio,Razão,noun
3112,menu,cardápio,noun
3113,purchase,comprar,noun
3114,controversial,controverso,adjective
3115,desperate,desesperado,adjective
3116,to rate,avaliar,verb
3117,lifestyle,estilo de vida,noun
3118,humor,humor,noun
3119,loud,alto,adjective
3120,glove,luva,noun
3121,suspect,suspeito,noun
3122,sufficient,suficiente,adjective
3123,narrative,narrativa,noun
3124,photographer,fotógrafo,noun
3125,helicopter,helicóptero,noun
3126,Catholic,católico,noun
3127,modest,modesto,adjective
3128,provider,fornecedor,noun
3129,delay,atraso,noun
3130,agricultural,agrícola,adjective
3131,to explode,explodir,verb
3132,stroke,derrame,noun
3133,scope,alcance,noun
3134,punishment,punição,noun
3135,handful,punhado,noun
3136,badly,seriamente,adverb
3137,horizon,horizonte,noun
3138,curious,curioso,adjective
3139,downtown,centro da cidade,adjective
3140,girlfriend,Namorada,noun
3141,to prompt,solicitar,verb
3142,to request,para solicitar,verb
3143,cholesterol,colesterol,noun
3144,to absorb,absorver,verb
3145,adjustment,ajustamento,noun
3146,taxpayer,contribuinte,noun
3147,eager,ansioso,adjective
3148,principal,diretor,noun
3149,detailed,detalhado,adjective
3150,motivation,motivação,noun
3151,assignment,tarefa,noun
3152,restriction,restrição,noun
3153,across,através,adverb
3154,Palestinian,palestino,noun
3155,laboratory,laboratório,noun
3156,workshop,oficina,noun
3157,differently,diferentemente,adverb
3158,auto,auto,noun
3159,romantic,romântico,adjective
3160,cotton,algodão,noun
3161,motor,motor,noun
3162,to sue,processar,verb
3163,flavor,sabor,noun
3164,to overlook,ignorar,verb
3165,to float,flutuar,verb
3166,to undergo,se submeter,verb
3167,sequence,seqüência,noun
3168,demonstration,demonstração,noun
3169,jet,jato,noun
3170,orange,laranja,adjective
3171,consumption,consumo,noun
3172,to assert,afirmar,verb
3173,blade,lâmina,noun
3174,temporary,temporário,adjective
3175,medication,medicamento,noun
3176,to print,imprimir,verb
3177,cabin,cabine,noun
3178,to bite,morder,verb
3179,relative,relativo,adjective
3180,edition,edição,noun
3181,valley,vale,noun
3182,yours,"o teu, o seu, o de vocês",pronoun
3183,pitch,tom,noun
3184,pine,pinho,noun
3185,brilliant,brilhante,adjective
3186,versus,versus,preposition
3187,manufacturing,fabricação,noun
3188,to risk,arriscar,verb
3189,Christian,cristão,noun
3190,complex,complexo,noun
3191,absolute,absoluto,adjective
3192,chef,chefe de cozinha,noun
3193,discrimination,discriminação,noun
3194,offensive,ofensiva,adjective
3195,German,Alemão,noun
3196,to suit,para atender,verb
3197,boom,estrondo,noun
3198,to register,registrar,verb
3199,to appoint,nomear,verb
3200,heritage,herança,noun
3201,God,Deus,noun
3202,terrorist,terrorista,adjective
3203,dominant,dominante,adjective
3204,successfully,com sucesso,adverb
3205,shit,merda,noun
3206,lemon,limão,noun
3207,hungry,com fome,adjective
3208,to sense,sentir,verb
3209,to dry,secar,verb
3210,to wander,vagar,verb
3211,to submit,submeter,verb
3212,economics,economia,noun
3213,naked,nu,adjective
3214,to anticipate,antecipar,verb
3215,nut,noz,noun
3216,legacy,legado,noun
3217,extension,extensão,noun
3218,to shrug,encolher os ombros,verb
3219,fly,mosca,noun
3220,battery,bateria,noun
3221,arrival,chegada,noun
3222,legitimate,legítimo,adjective
3223,orientation,orientação,noun
3224,inflation,inflação,noun
3225,to cope,lidar,verb
3226,flame,chama,noun
3227,cluster,cacho,noun
3228,to host,hospedar,verb
3229,wound,ferimento,noun
3230,dependent,dependente,adjective
3231,shower,banho,noun
3232,institutional,institucional,adjective
3233,to depict,para retratar,verb
3234,operating,operativo,noun
3235,flesh,carne,noun
3236,garage,garagem,noun
3237,operator,operador,noun
3238,instructor,instrutor,noun
3239,to collapse,desmoronar,verb
3240,to borrow,emprestar,verb
3241,furthermore,além do mais,adverb
3242,comedy,comédia,noun
3243,mortgage,hipoteca,noun
3244,sanction,sanção,noun
3245,civilian,civil,adjective
3246,twelve,doze,number
3247,weekly,semanalmente,adjective
3248,habitat,habitat,noun
3249,grain,grão,noun
3250,to brush,escovar,verb
3251,consciousness,consciência,noun
3252,to devote,devotar,verb
3253,to crack,rachar,verb
3254,measurement,medição,noun
3255,province,província,noun
3256,to ease,facilitar,verb
3257,to seize,aproveitar,verb
3258,ethics,ética,noun
3259,nomination,nomeação,noun
3260,permission,permissão,noun
3261,wise,sábio,adjective
3262,actress,atriz,noun
3263,summit,cume,noun
3264,acid,ácido,noun
3265,odds,chances,noun
3266,gifted,dotado,adjective
3267,frustration,frustração,noun
3268,medium,médio,noun
3269,to function,funcionar,verb
3270,physically,fisicamente,adverb
3271,grant,conceder,noun
3272,to distinguish,distinguir,verb
3273,shore,costa,noun
3274,repeatedly,repetidamente,adverb
3275,lung,pulmão,noun
3276,firm,empresa,adjective
3277,running,encontro,adjective
3278,to correct,corrigir,verb
3279,distinct,distinto,adjective
3280,artistic,artístico,adjective
3281,discourse,discurso,noun
3282,basket,cesta,noun
3283,ah,ah,u
3284,fighting,brigando,noun
3285,impressive,impressionante,adjective
3286,competitor,concorrente,noun
3287,ugly,feio,adjective
3288,worried,preocupado,adjective
3289,to portray,retratar,verb
3290,powder,pó,noun
3291,ghost,fantasma,noun
3292,to persuade,persuadir,verb
3293,moderate,moderado,adjective
3294,subsequent,subseqüente,adjective
3295,continued,contínuo,adjective
3296,cookie,biscoito,noun
3297,carrier,operadora,noun
3298,cooking,culinária,noun
3299,frequent,freqüente,adjective
3300,to ban,banir,verb
3301,swing,balanço,noun
3302,orange,laranja,noun
3303,awful,horrível,adjective
3304,to admire,admirar,verb
3305,pet,bicho de estimação,noun
3306,miracle,milagre,noun
3307,to exceed,exceder,verb
3308,rhythm,ritmo,noun
3309,widespread,difundido,adjective
3310,killing,matando,noun
3311,lovely,amável,adjective
3312,sin,pecado,noun
3313,charity,caridade,noun
3314,script,roteiro,noun
3315,tactic,tática,noun
3316,identification,identificação,noun
3317,transformation,transformação,noun
3318,everyday,todo dia,adjective
3319,headline,título,noun
3320,to crash,bater,verb
3321,venture,risco,noun
3322,invasion,invasão,noun
3323,military,militares,noun
3324,nonetheless,não obstante,adverb
3325,adequate,adequado,adjective
3326,piano,piano,noun
3327,grocery,mercado,noun
3328,intensity,intensidade,noun
3329,to exhibit,exibir,verb
3330,high,alto,adverb
3331,blanket,cobertor,noun
3332,margin,margem,noun
3333,principal,diretor,adjective
3334,quarterback,quarterback,noun
3335,mouse,mouse,noun
3336,rope,corda,noun
3337,concrete,concreto,adjective
3338,prescription,prescrição,noun
3339,African-American,afro-americano,adjective
3340,to chase,perseguir,verb
3341,to document,documentar,verb
3342,brick,tijolo,noun
3343,to recruit,recrutar,verb
3344,patch,correção,noun
3345,consensus,consenso,noun
3346,horror,horror,noun
3347,recording,gravação,noun
3348,changing,mudando,adjective
3349,painter,pintor,noun
3350,colonial,colonial,adjective
3351,pie,torta,noun
3352,sake,interesse,noun
3353,gaze,olhar,noun
3354,courage,coragem,noun
3355,pregnancy,gravidez,noun
3356,to swear,jurar,verb
3357,to defeat,derrotar,verb
3358,clue,dica,noun
3359,to reinforce,reforçar,verb
3360,win,vencer,noun
3361,confusion,confusão,noun
3362,slice,fatiar,noun
3363,occupation,ocupação,noun
3364,dear,querida,adjective
3365,coal,carvão,noun
3366,sacred,sagrado,adjective
3367,criminal,criminoso,noun
3368,formula,fórmula,noun
3369,cognitive,cognitivo,adjective
3370,collective,coletivo,adjective
3371,exact,exato,adjective
3372,uncle,tio,noun
3373,square,quadrado,noun
3374,captain,capitão,noun
3375,to sigh,suspirar,verb
3376,to attribute,atribuir,verb
3377,to dare,desafiar,verb
3378,okay,ok,adjective
3379,homeless,sem teto,adjective
3380,to cool,legal,verb
3381,gallery,galeria,noun
3382,soccer,futebol,noun
3383,defendant,réu,noun
3384,tunnel,túnel,noun
3385,fitness,condição física,noun
3386,lap,colo,noun
3387,grave,cova,noun
3388,toe,dedo do pé,noun
3389,container,recipiente,noun
3390,virtue,virtude,noun
3391,abroad,fora do país,adverb
3392,architect,arquiteto,noun
3393,dramatically,dramaticamente,adverb
3394,makeup,maquiagem,noun
3395,inquiry,investigação,noun
3396,rose,rosa,noun
3397,surprisingly,surpreendentemente,adverb
3398,to highlight,para realçar,verb
3399,to decrease,diminuir,verb
3400,indication,indicação,noun
3401,rail,trilho,noun
3402,anniversary,aniversário,noun
3403,couch,sofá,noun
3404,alliance,aliança,noun
3405,hypothesis,hipótese,noun
3406,boyfriend,namorado,noun
3407,to compose,compor,verb
3408,to peer,espiar,verb
3409,mess,bagunça,noun
3410,to rank,classificar,verb
3411,legend,lenda,noun
3412,to regulate,regular,verb
3413,adolescent,adolescente,noun
3414,to shine,brilhar,verb
3415,norm,norma,noun
3416,to upset,chatear,verb
3417,remark,observação,noun
3418,to resign,resignar,verb
3419,reward,recompensa,noun
3420,gentle,□ gentil,adjective
3421,related,relacionado,adjective
3422,organ,órgão,noun
3423,lightly,levemente,adverb
3424,concerning,"relativo, com respeito a",preposition
3425,to invent,inventar,verb
3426,laughter,risada,noun
3427,fit,em forma,adjective
3428,northwest,noroeste,noun
3429,counseling,aconselhamento,noun
3430,tight,apertado,adverb
3431,receiver,receptor,noun
3432,ritual,ritual,noun
3433,insect,inseto,noun
3434,to interrupt,interromper,verb
3435,salmon,salmão,noun
3436,favor,favor,noun
3437,trading,negociação,noun
3438,to concern,preocupar,verb
3439,magic,magia,adjective
3440,superior,superior,adjective
3441,combat,combate,noun
3442,stem,tronco,noun
3443,surgeon,cirurgião,noun
3444,acceptable,aceitável,adjective
3445,physics,física,noun
3446,rape,estupro,noun
3447,counsel,conselho,noun
3448,brush,escovar,noun
3449,jeans,jeans,noun
3450,to hunt,caçar,verb
3451,continuous,contínuo,adjective
3452,log,registro,noun
3453,to echo,a ecoar,verb
3454,pill,comprimido,noun
3455,excited,excitado,adjective
3456,sculpture,escultura,noun
3457,compound,composto,noun
3458,to integrate,integrar,verb
3459,flour,farinha de trigo,noun
3460,bitter,amargo,adjective
3461,bare,nu,adjective
3462,slope,inclinação,noun
3463,to rent,alugar,verb
3464,presidency,presidência,noun
3465,serving,servindo,noun
3466,subtle,sutil,adjective
3467,greatly,muito,adverb
3468,bishop,bispo,noun
3469,drinking,bebendo,noun
3470,to delay,atrasar,verb
3471,cry,choro,noun
3472,acceptance,aceitação,noun
3473,collapse,colapso,noun
3474,to shop,comprar,verb
3475,pump,bombear,noun
3476,candy,doce,noun
3477,evil,mal,noun
3478,final,final,noun
3479,to finance,financiar,verb
3480,pleased,satisfeito,adjective
3481,medal,medalha,noun
3482,to beg,implorar,verb
3483,to sponsor,patrocinar,verb
3484,ethical,ético,adjective
3485,secondary,secundário,adjective
3486,to slam,bater,verb
3487,export,exportar,noun
3488,experimental,experimental,adjective
3489,to melt,derreter,verb
3490,midnight,meia-noite,noun
3491,net,internet,adjective
3492,curve,curva,noun
3493,integrity,integridade,noun
3494,to entitle,dar direito,verb
3495,evident,evidente,adjective
3496,logic,lógica,noun
3497,essence,essência,noun
3498,to park,estacionar,verb
3499,to exclude,excluir,verb
3500,harsh,severo,adjective
3501,closet,armário,noun
3502,suburban,suburbano,adjective
3503,to greet,cumprimentar,verb
3504,favor,favor,preposition
3505,interior,interior,noun
3506,corridor,corredor,noun
3507,to murder,assassinar,verb
3508,retail,retalho,adjective
3509,pitcher,jarro,noun
3510,to march,para março,verb
3511,snake,cobra,noun
3512,to pitch,lançar,verb
3513,to excuse,desculpar,verb
3514,cross,cruz,noun
3515,weakness,fraqueza,noun
3516,pig,porco,noun
3517,cold,frio,noun
3518,classical,clássico,adjective
3519,estimated,estimado,adjective
3520,T-shirt,camiseta,noun
3521,online,conectados,adverb
3522,unemployment,desemprego,noun
3523,civilization,civilização,noun
3524,to fold,dobrar,verb
3525,patient,paciente,adjective
3526,pop,estourar,noun
3527,daily,diário,adverb
3528,to reverse,reverter,verb
3529,missing,ausente,adjective
3530,correlation,correlação,noun
3531,humanity,humanidade,noun
3532,to flash,a piscar,verb
3533,developer,desenvolvedor,noun
3534,reliable,confiável,adjective
3535,excitement,excitação,noun
3536,beef,carne de gado,noun
3537,Islam,islamismo,noun
3538,Roman,romano,adjective
3539,stretch,esticar,noun
3540,architecture,arquitetura,noun
3541,occasional,ocasional,adjective
3542,administrative,administrativo,adjective
3543,elbow,cotovelo,noun
3544,deadly,mortal,adjective
3545,Muslim,muçulmano,noun
3546,Hispanic,hispânico,adjective
3547,allegation,alegação,noun
3548,to tip,dar gorjeta,verb
3549,to confuse,confundir,verb
3550,airplane,avião,noun
3551,monthly,por mês,adjective
3552,duck,pato,noun
3553,dose,dose,noun
3554,Korean,coreano,adjective
3555,to plead,suplicar,verb
3556,to initiate,iniciar,verb
3557,lecture,palestra,noun
3558,van,furgão,noun
3559,sixth,sexto,number
3560,bay,baía,noun
3561,mainstream,convencional,adjective
3562,suburb,subúrbio,noun
3563,sandwich,sanduíche,noun
3564,unlike,diferente,adjective
3565,trunk,porta malas,noun
3566,rumor,rumor,noun
3567,implementation,implementação,noun
3568,to swallow,engolir,verb
3569,to motivate,motivar,verb
3570,to render,renderizar,verb
3571,longtime,muito tempo,adjective
3572,to trap,prender,verb
3573,to restrict,restringir,verb
3574,cloth,pano,noun
3575,seemingly,aparentemente,adverb
3576,legislative,legislativo,adjective
3577,effectiveness,eficácia,noun
3578,to enforce,reforçar,verb
3579,lens,lente,noun
3580,reach,alcançar,noun
3581,inspector,inspetor,noun
3582,to lend,emprestar,verb
3583,plain,avião,adjective
3584,fraud,fraude,noun
3585,companion,companheiro,noun
3586,to contend,disputar,verb
3587,nail,unha,noun
3588,array,variedade,noun
3589,strict,estrito,adjective
3590,to assemble,para montar,verb
3591,frankly,francamente,adverb
3592,rat,ratazana,noun
3593,to burst,estourar,verb
3594,hallway,corredor,noun
3595,cave,caverna,noun
3596,inevitable,inevitável,adjective
3597,southwest,sudoeste,noun
3598,monster,monstro,noun
3599,to speed,acelerar,verb
3600,to protest,protestar,verb
3601,unexpected,inesperado,adjective
3602,obstacle,obstáculo,noun
3603,to facilitate,facilitar,verb
3604,encounter,encontro,noun
3605,to rip,rasgar,verb
3606,herb,erva,noun
3607,overwhelming,muito pesado,adjective
3608,integration,integração,noun
3609,crystal,cristal,noun
3610,recession,recessão,noun
3611,wish,desejo,noun
3612,to top,para cima,verb
3613,written,escrito,adjective
3614,motive,motivo,noun
3615,to label,para rotular,verb
3616,flood,inundar,noun
3617,pen,caneta,noun
3618,ownership,propriedade,noun
3619,nightmare,pesadelo,noun
3620,notice,perceber,noun
3621,inspection,inspeção,noun
3622,supervisor,supervisor,noun
3623,to consult,consultar,verb
3624,arena,arena,noun
3625,laugh,riso,noun
3626,diagnosis,diagnóstico,noun
3627,possession,posse,noun
3628,to forgive,perdoar,verb
3629,to warm,aquecer,verb
3630,consistently,consistentemente,adverb
3631,basement,porão,noun
3632,to project,projetar,verb
3633,to drift,à deriva,verb
3634,to drain,drenar,verb
3635,last,último,adverb
3636,prosecution,acusação,noun
3637,maximum,máximo,adjective
3638,announcement,anúncio,noun
3639,warrior,guerreiro,noun
3640,prediction,predição,noun
3641,bacteria,bactérias,noun
3642,questionnaire,questionário,noun
3643,mud,lama,noun
3644,infrastructure,a infraestrutura,noun
3645,to hurry,apressar,verb
3646,privilege,privilégio,noun
3647,temple,têmpora,noun
3648,medium,médio,adjective
3649,outdoor,exterior,adjective
3650,to suck,chupar,verb
3651,and/or,e/ou,conjunction
3652,broadcast,transmissão,noun
3653,re,ré,preposition
3654,to leap,saltar,verb
3655,random,aleatória,adjective
3656,past,passado,adverb
3657,wrist,pulso,noun
3658,curtain,cortina,noun
3659,monitor,monitor,noun
3660,pond,lago,noun
3661,domain,domínio,noun
3662,guilt,culpa,noun
3663,cattle,gado,noun
3664,subject,sujeito,preposition
3665,walking,andando,noun
3666,playoff,pague,noun
3667,minimum,mínimo,adjective
3668,fiscal,fiscal,adjective
3669,skirt,saia,noun
3670,to dump,despejar,verb
3671,hence,conseqüentemente,adverb
3672,database,base de dados,noun
3673,uncomfortable,desconfortável,adjective
3674,aim,mirar,noun
3675,to execute,executar,verb
3676,limb,membro,noun
3677,ideology,ideologia,noun
3678,to average,a média,verb
3679,welcome,receber,adjective
3680,to tune,sintonizar,verb
3681,continuing,continuando,adjective
3682,harm,ferir,noun
3683,railroad,ferrovia,noun
3684,to endure,aguentar,verb
3685,radiation,radiação,noun
3686,horn,chifre,noun
3687,chronic,crônica,adjective
3688,peaceful,pacífico,adjective
3689,innovation,inovação,noun
3690,strain,cepa,noun
3691,guitar,guitarra,noun
3692,replacement,substituição,noun
3693,to behave,comportar-se,verb
3694,to administer,administrar,verb
3695,simultaneously,simultaneamente,adverb
3696,dancer,dançarino,noun
3697,amendment,alteração,noun
3698,to guard,guardar,verb
3699,pad,almofada,noun
3700,transmission,transmissão,noun
3701,to await,esperar,verb
3702,retired,aposentado,adjective
3703,to trigger,acionar,verb
3704,to spill,derramar,verb
3705,grateful,grato,adjective
3706,grace,graça,noun
3707,virtual,virtual,adjective
3708,response,resposta,preposition
3709,colony,colônia,noun
3710,adoption,adoção,noun
3711,slide,slide,noun
3712,indigenous,indígena,adjective
3713,closed,fechado,adjective
3714,to convict,para convencer,verb
3715,civilian,civil,noun
3716,towel,toalha,noun
3717,to modify,para modificar,verb
3718,particle,partícula,noun
3719,to award,premiar,verb
3720,glance,olhar,noun
3721,prize,prêmio,noun
3722,landing,pousar,noun
3723,conduct,conduta,noun
3724,blue,azul,noun
3725,to boost,impulsionar,verb
3726,bat,bastão,noun
3727,alarm,alarme,noun
3728,festival,festival,noun
3729,grip,firmeza,noun
3730,weird,estranhas,adjective
3731,to undermine,minar,verb
3732,freshman,calouro,noun
3733,sweat,suor,noun
3734,outer,exterior,adjective
3735,European,europeu,noun
3736,drunk,bêbado,adjective
3737,to survey,pesquisar,verb
3738,to research,pesquisar,verb
3739,separation,separação,noun
3740,traditionally,tradicionalmente,adverb
3741,to stuff,encher,verb
3742,to govern,governar,verb
3743,southeast,sudeste,noun
3744,intelligent,inteligente,adjective
3745,wherever,onde quer que,adverb
3746,ballot,cédula,noun
3747,rhetoric,retórica,noun
3748,convinced,convencido,adjective
3749,driving,dirigindo,adjective
3750,vitamin,vitamina,noun
3751,enthusiasm,entusiasmo,noun
3752,to accommodate,acomodar,verb
3753,to praise,dar elogios,verb
3754,to injure,ferir,verb
3755,wilderness,região selvagem,noun
3756,nearby,próximo,adverb
3757,endless,sem fim,adjective
3758,mandate,mandato,noun
3759,pause,pausa,noun
3760,excuse,com licença,noun
3761,respectively,respectivamente,adverb
3762,uncertainty,incerteza,noun
3763,chaos,caos,noun
3764,short,baixo,adverb
3765,mechanical,mecânico,adjective
3766,canvas,tela,noun
3767,forty,quarenta,number
3768,matter,matéria,determiner
3769,lobby,salão,noun
3770,profound,profundo,adjective
3771,format,formato,noun
3772,trait,característica,noun
3773,currency,moeda,noun
3774,turkey,turquia,noun
3775,reserve,reserva,noun
3776,beam,feixe,noun
3777,to abuse,abusar,verb
3778,astronomer,astrônomo,noun
3779,corruption,corrupção,noun
3780,contractor,contratante,noun
3781,to apologize,desculpar-se,verb
3782,doctrine,doutrina,noun
3783,genuine,genuíno,adjective
3784,thumb,polegar,noun
3785,unity,unidade,noun
3786,compromise,compromisso,noun
3787,horrible,horrível,adjective
3788,behavioral,comportamental,adjective
3789,exclusive,exclusivo,adjective
3790,to scatter,espalhar,verb
3791,commonly,comumente,adverb
3792,to convey,transmitir,verb
3793,rush,pressa,noun
3794,to twist,torcer,verb
3795,complexity,complexidade,noun
3796,fork,garfo,noun
3797,disk,disco,noun
3798,to relieve,aliviar,verb
3799,suspicion,suspeita,noun
3800,lock,trancar,noun
3801,finish,finalizar,noun
3802,residence,residência,noun
3803,shame,vergonha,noun
3804,meaningful,significativo,adjective
3805,sidewalk,calçada,noun
3806,Olympics,olimpíadas,noun
3807,technological,tecnológica,adjective
3808,signature,assinatura,noun
3809,pleasant,prazeroso,adjective
3810,wow,uau,u
3811,to suspend,suspender,verb
3812,rebel,rebelde,noun
3813,frozen,congeladas,adjective
3814,to desire,desejar,verb
3815,spouse,cônjuge,noun
3816,fluid,fluido,noun
3817,pension,pensão,noun
3818,to resume,retomar,verb
3819,theoretical,teórico,adjective
3820,sodium,sódio,noun
3821,blow,soprar,noun
3822,promotion,promoção,noun
3823,delicate,delicado,adjective
3824,forehead,testa,noun
3825,to rebuild,reconstruir,verb
3826,to bounce,saltar,verb
3827,electrical,elétrico,adjective
3828,hook,gancho,noun
3829,detective,detetive,noun
3830,traveler,viajante,noun
3831,to click,clicar,verb
3832,compensation,compensação,noun
3833,to signal,sinalizar,verb
3834,exit,saída,noun
3835,attraction,atração,noun
3836,to dedicate,dedicar,verb
3837,altogether,completamente,adverb
3838,pickup,escolher,noun
3839,to carve,esculpir,verb
3840,needle,agulha,noun
3841,belly,barriga,noun
3842,to ship,enviar,verb
3843,to scare,assustar,verb
3844,portfolio,portfólio,noun
3845,shuttle,transporte,noun
3846,invisible,invisível,adjective
3847,timing,cronometragem,noun
3848,engagement,noivado,noun
3849,ankle,tornozelo,noun
3850,transaction,transação,noun
3851,to rescue,para resgatar,verb
3852,counterpart,contrapartida,noun
3853,historically,historicamente,adverb
3854,firmly,firmemente,adverb
3855,mild,suave,adjective
3856,rider,cavaleiro,noun
3857,doll,boneca,noun
3858,noon,meio-dia,noun
3859,exhibit,exibir,noun
3860,amid,em meio a,preposition
3861,identical,idêntico,adjective
3862,precise,preciso,adjective
3863,anxious,ansioso,adjective
3864,structural,estrutural,adjective
3865,residential,residencial,adjective
3866,loud,alto,adverb
3867,to diagnose,diagnosticar,verb
3868,carbohydrate,carboidrato,noun
3869,liberty,liberdade,noun
3870,poster,poster,noun
3871,theology,teologia,noun
3872,nonprofit,sem fins lucrativos,adjective
3873,to crawl,rastejar,verb
3874,oxygen,oxigênio,noun
3875,handsome,belo,adjective
3876,magic,magia,noun
3877,sum,soma,noun
3878,provided,desde que,conjunction
3879,businessman,homem de negocios,noun
3880,promising,promissor,adjective
3881,conscious,consciente,adjective
3882,determination,determinação,noun
3883,donor,doador,noun
3884,hers,o dela,pronoun
3885,pastor,pastor,noun
3886,jazz,jazz,noun
3887,opera,ópera,noun
3888,Japanese,japonês,noun
3889,bite,mordida,noun
3890,to frame,enquadrar,verb
3891,evil,mal,adjective
3892,hay,feno,noun
3893,pit,poço,noun
3894,to hug,abraçar,verb
3895,wildlife,animais selvagens,noun
3896,to punish,punir,verb
3897,giant,gigante,noun
3898,primary,primário,noun
3899,equity,capital próprio,noun
3900,wrong,errado,adverb
3901,doorway,entrada,noun
3902,departure,partida,noun
3903,elevator,elevador,noun
3904,teenage,adolescência,adjective
3905,guidance,orientação,noun
3906,happiness,felicidade,noun
3907,statue,estátua,noun
3908,pursuit,perseguir,noun
3909,repair,reparar,noun
3910,decent,decente,adjective
3911,gym,academia,noun
3912,oral,oral,adjective
3913,clerk,atendente,noun
3914,Israeli,israelense,noun
3915,envelope,envelope,noun
3916,reporting,comunicando,noun
3917,destination,destino,noun
3918,fist,punho,noun
3919,to endorse,endossar,verb
3920,exploration,exploração,noun
3921,generous,generoso,adjective
3922,bath,banho,noun
3923,rescue,resgatar,noun
3924,thereby,deste modo,adverb
3925,overall,no geral,adverb
3926,indicator,indicador,noun
3927,sunlight,luz solar,noun
3928,feedback,comentários,noun
3929,spectrum,espectro,noun
3930,purple,roxa,adjective
3931,laser,laser,noun
3932,bold,negrito,adjective
3933,reluctant,relutante,adjective
3934,starting,iniciando,noun
3935,expertise,perícia,noun
3936,practically,praticamente,adverb
3937,to program,programar,verb
3938,to picture,para retratar,verb
3939,tune,afinação,noun
3940,eating,comendo,noun
3941,to age,envelhecer,verb
3942,to volunteer,voluntariar,verb
3943,hint,dica,noun
3944,sharply,agudamente,adverb
3945,parade,parada,noun
3946,to advocate,defender,verb
3947,realm,reino,noun
3948,ban,banimento,noun
3949,to strip,despir,verb
3950,to cancel,cancelar,verb
